Layer,Mean_Vel_Exp_m/s,Mean_Vel_Sim_m/s,Difference_m/s,Rel_Diff_%
30°,1.7886425861325668,1.8715201665751042,0.08287758044253746,4.633546192240495
60°,1.7013955903759554,1.8753981819126881,0.1740025915367327,10.227050811756456
90°,2.068439941266018,1.8198951676569088,-0.24854477360910932,-12.01604980887112
120°,2.0399105297783184,1.8720770100167825,-0.16783351976153593,-8.227494162686378
150°,2.0466020017085893,1.8684975207469947,-0.1781044809615946,-8.702448292970763
