=== MEAN VELOCITY PER LAYER ===
Layer,Mean_|V|_[m/s],Mean_u_[m/s],Mean_w_[m/s]
L17,0.8916136978106359,-0.20825083467705782,0.622134264156221
L16,0.8948702720664408,-0.25467182221274554,0.628795280000689
L15,0.8452439910175423,-0.30715526331426823,0.620630044933354
L14,0.88486386914463,-0.27729459264233663,0.6160119629952292
L13,0.8835753343466622,-0.2588007083572708,0.6111907503429876
L12,0.901665006783803,-0.25522053369788905,0.5375523028253663
L11,0.8699910116279412,-0.2470912240366455,0.590793619585262
L10,0.7948564359289,-0.271981731523639,0.583213832997573
L09,0.8226565117679966,-0.25795169312191835,0.5607182274978815
L08,0.839705262875574,-0.26066240018180903,0.5839130536031862
L07,0.7738483234090233,-0.2567963446753288,0.5480296378089837
L06,0.8253904850542394,-0.22097234127889992,0.5784952711473299
L05,0.8045142697486432,-0.21814127128443297,0.5699738278293077
L04,0.8161897881522626,-0.274432151762974,0.581058540623747
L03,0.7898142892633756,-0.2967703660302986,0.5523827558667698

=== OVERALL SIMULATION STATISTICS ===
Component,Min [m/s],Mean [m/s],Max [m/s],Std Dev [m/s]
u (X-velocity),-1.82077137260406,-0.2567372112085005,1.6462877497956852,0.3802678912601536
w (Z-velocity),-0.4722465433,0.5872567806713115,2.357947797,0.6993976729055597
|V| (Magnitude),4.229564449003337e-05,0.8431504303587244,2.6409742335013426,0.5776180812947296
