=== MEAN VELOCITY PER LAYER ===
Layer,Mean_|V|_[m/s],Mean_u_[m/s],Mean_w_[m/s]
L17,0.2276379609889256,-0.011218993113140391,0.16634203074737774
L16,0.22334492834943304,-0.014327564245978018,0.16367129378663348
L15,0.21579749433332812,-0.014265539698251327,0.16045012341504516
L14,0.21561618775721453,-0.01626242305873589,0.15861751219296083
L13,0.21869936280272384,-0.01747009630138318,0.16058469852618007
L12,0.21379412822335153,-0.01586604939918486,0.15879343814483565
L11,0.21563953101420202,-0.01753565338570024,0.1578053635026185
L10,0.22060395922805112,-0.017505832240675173,0.162482048983984
L09,0.21669510167195008,-0.01581318273339876,0.16121811202026978
L08,0.21643796288500625,-0.017171123493473293,0.15926334710918102
L07,0.22364960967358574,-0.017006039349291627,0.16260496672027147
L06,0.21312213547122577,-0.0168647238235245,0.1588391947941603
L05,0.21736357176679763,-0.019714213729145443,0.15906026703244905
L04,0.21510739559800998,-0.02056166194241446,0.15720281265964323
L03,0.21509032584128823,-0.015943649218219325,0.15513453985838283

=== OVERALL SIMULATION STATISTICS ===
Component,Min [m/s],Mean [m/s],Max [m/s],Std Dev [m/s]
u (X-velocity),-0.5166693527847163,-0.01657078710180993,0.5952368954651908,0.154373502562473
w (Z-velocity),-0.049001332096221,0.16025356517682007,0.5788400133248179,0.1664282329840286
|V| (Magnitude),3.0819696846322864e-05,0.21818439232744102,0.7249842990818178,0.17286093286035475
